user,rasa,blenderbot_400M_distill,DialoGPT_medium,QA_answers,rasa_updown_score,blenderbot_400M_distill_updown_score,DialoGPT_medium_updown_score,rasa_human_vs_machine_score,blenderbot_400M_distill_human_vs_machine_score,DialoGPT_medium_human_vs_machine_score
Do you lose weight training benefits after stopping exercise,"If you gain large amounts of muscle, it tends to stick around."," I don't think so, but I do feel a lot more energetic after exercising.","I don't know, I'm not a doctor.",I do feel a lot more energetic,0.402,0.29,0.395,0.723,0.244,0.212
Can you bulk with resistance exercising,Absolutely not. Your muscles need resistance to grow.," I don't think so, but I'm going to try. I just want to be healthier.",I can't. I'm a beginner.,Your muscles need resistance to grow,0.473,0.225,0.295,0.693,0.438,0.438
Which diet do you recommend for abs,"There are 3 main things you need to get to visible abs: Calorie Deficit, Higher Protein Intake, and a Workout Routine."," I would recommend a high protein, low carb diet. It will help you lose weight.","I'm not sure, I'm not a doctor.",low carb,0.441,0.371,0.319,0.799,0.238,0.059
Can you get fit without a gym,"To stay fit, focus mainly on diet rather than working out."," I can, but it's not the same as going to the gym and working out at home.","I can't, I'm a student.",it's not the same as going to the gym,0.433,0.349,0.3,0.622,0.295,0.422
Can you gain muscle without the gym,"You don’t have to hit the gym to get a ripped athletic physique. All you need is a little discipline for less than 45min a day, 4x per week. Eat proper, train proper and you can have six-pack abs, toned chest, legs, and arms with low body fat"," I don't think so, but I'm going to try to do some body weight exercises.","Yes, but you need to eat more.",ripped athletic physique,0.558,0.201,0.341,0.995,0.194,0.513
What to avoid as a fitness beginner,"Warm-up is the most important part of a workout, not warming up can jolt your joints causing injuries. Do 1 set of 12 to 15 repetitions with 50 percent of the maximum weight, you will be using for that workout. Take a break of 30 seconds to 3 minutes, before you start the actual workout.",I'm not sure what you mean by that. Do you mean to say that you don't want to go to the gym?,Don't eat too much.,Don't eat too much,0.505,0.316,0.292,0.995,0,0.475
Good exercises for old people,"I try to do 10 pushups (or more) every day, plus crunches, sit-ups, and leg raises. My pushups and ab work are my warm-ups. Then, I have a 5-day cycle of weight lifting - chest, back, shoulders, arms, and legs/glutes.",I agree. It's good for them to get out and be active. Do you exercise?,I'm a little surprised that this is the only comment in this thread that has a positive score.,It's good for them to get out and be active,0.348,0.244,0.391,0.981,0.652,0.391
What are the biggest mistakes a gym person can do if they are trying to get muscular,"If you haven’t been training with sufficient ferocity, making just this one change will supercharge your training. The biggest mistake is insufficient effort. Go into every set like it’s life or death like you’re fighting for the survival of your family. You don’t NEED to train to failure, but you should be fairly close for most of your sets if you really want to grow"," I'm not sure, but I'm sure there are a lot of things that can be done at the gym.","I'm not sure, but I think it's a good idea to try to get a little more leaner.",insufficient effort,0.626,0.262,0.337,1,0.005,0.176
what are some good exercises for fitness,Excercise is a science. If you are systematic you will have maximum gains. By just doing tummy exercises like crunches you won't lose your pot belly. You need to use all the muscles in your body to get optimal results and flatten your tummy.,I like to do HIT training. It's a high intensity interval workout.,"I'm not sure, but I think I read somewhere that you can do a lot of cardio in a day.",tummy,0.495,0.264,0.259,0.972,0.375,0.021
What do you do to keep in shape,"Wake up 5 AM every day. An early start gives a positive attitude and sets the day in motion. Drink at least 2 liters of water. Exercise: Mix cardio, stretching, and aerobics for around 1 hour each day. King size breakfast, queen size lunch, and pawn size dinner.",I try to go to the gym at least 3 times a week. I also try to eat healthy.,I'm a bodybuilder.,try to eat healthy,0.522,0.299,0.339,0.999,0.139,0.003
What do you call an aesthetic exercise or training,"For superficial aesthetics, focus first on calorie cutting. Having a very low body fat percentage is most desirable in the world defined by the superficial. Strength, function, and generalized health are not aesthetic concerns. Maintaining the caloric deficit, focusing on ornament muscles, and maintaining cardiovascular work will over time transform the aesthetic of your desire.",I call it aerobic exercise. It's a type of cardiovascular exercise.,Aerobic exercise,aerobic exercise,0.479,0.344,0.363,1,0.149,0.178
What is a good gym diet,"These food options are traditional, time-tested, easy to prepare, and also tasty. Moong dal dosa gives a whopping 24 grams of protein along with the most needed micronutrients. Black gram with palm jaggery is cooling, high in micronutrients and iron. Roasted Bengal gram is nothing short of a miracle. Panner Jackfruits Chickpeas Almonds Peanuts.",I try to eat a lot of protein and fat. I also try to stay away from carbs.,"I'm not sure, but I think it's a good idea to eat at least a little bit of protein every day.","traditional, time-tested, easy to prepare, and also tasty",0.541,0.261,0.321,1,0.135,0.005
what are some good exercises for getting ripped,Run on a treadmill or on open ground up to 5 Kms or more with a backpack carrying between 8–10 kg weight or wear a weight vest containing the above weight. Do planks with or without weights for around 20 minutes or half an hour. Perform at least 200 reps in rounds of 15–20 reps per set.,I would say lifting weights. It's a great way to build muscle and strength.,"Squats, deadlifts, and leg press.","Squats, deadlifts, and leg press",0.306,0.333,0.319,0.98,0.137,0.439
Will I lose muscle if I don t work out for [2](abstinence) days,"If you go on vacation, get sick or have a super busy week at work you can relax, your gains aren’t going anywhere. [2](abstinence) days is not gonna do a damn thing. Buuuuuttttt, you will feel smaller after skipping a few days which could lead to some weird moments.",It depends on how much muscle you have. If you don't work out you will lose muscle.,You'll lose muscle if you don't work out for the rest of your life.,for the rest of your life,0.484,0.338,0.517,1,0.656,0.035
Are biceps pushups recommended,Bicep pushups only work the bicep a little bit (barely at all but more than normal pushups) and don't work the back of the biceps to the extent of rows or pull-ups/lat pulldowns. You shouldn't have any push exercises in your pull routine unless you are doing a full upper body workout.," I'm not sure, but I do know that they have been around for a long time.",I do them for the same reason I do pullups.,don't work the back of the biceps,0.36,0.282,0.288,0.888,0.008,0.02
is there a difference doing several pushups sets,there is a stark difference in 100 bodyweight pushups in a row vs 5 sets of 20 bodyweight push-ups. In this case upper body endurance. What this means in terms of proficiency is you are teaching your pressing movement or push muscles advancing levels of muscle memory.," Yes, there is a difference. There are two types of pushups. One is for strength and the other is for flexibility.",I don't think so. I think it's just a matter of how much you can do.,There are two types of pushups,0.586,0.523,0.309,0.975,0.597,0.49
As you move from the very bottom to the very top of a pull up which muscles are activated,"This is mission control, do you read me? We’re about to do another set.'' says the Brain. 'But they aren’t going to like that, We have liftoff, we are contracted, fingers are tensile' report the forearms. The motor units trigger, electrolytes cascading, ATP frolicking around. A chemical stew of energetic entropy, somehow organized from the chaos of the universe into life."," That's a good point, I didn't think of it like that. Thanks for that!",I'm not sure what you mean by that.,fingers are tensile' report the forearms,0.827,0.205,0.37,1,0.845,0
Can calisthenics get you ripped,"While it is possible to build muscles with Calisthenics, it is not the quickest or the most effective way to grow the number of muscles you would grow with weight training. Bodyweight exercises are great; I enjoy them but as long as you are not adding more weight over your body weight, your muscle-building gets saturated because you've trained your Central Nervous System to get used to the same weight and movements over and over again."," I don't know about that, but I do know that I need to eat a lot of fruits and vegetables.","I'm not sure, but I think they can.",your muscle-building gets saturated,0.521,0.325,0.324,0.99,0.338,0.013
does being tall affect calisthenics,"At its most basic, calisthenics consists of specific types of exercise patterns performed with bodyweight, not weights. Can you do pullups when tall? Provided you have a tall enough bar/tree branch, etc… then yes. Squats? Yes. Leg raises? See pullups answer above, and modify accordingly."," I'm not sure, but I do know that tall people are more likely to have higher blood pressure.",I'm 6'2 and I can't do it.,tall people are more likely to have higher blood pressure,0.569,0.497,0.353,0.998,0.147,0.03
How calisthenics compare to weight lifting,"The argument for bench pressing 400 lbs vs pushups is a null argument. The hardest variations you can do for the legs are pistol squats and some other variations, like shrimp squats. Calisthenics exercises, especially upper body ones, require much more shoulder and scapular stabilization than most weight exercises could ever dream of."," I'm not sure, but I do know that weightlifting is a type of strength training.","I'm not sure, but I think they're both pretty similar.",pretty similar,0.688,0.306,0.295,1,0.054,0.05
How can we fix our knees that always tuck in when we do squats,"I assume you are talking about the inward cave-in of the knee or a valgus collapse. If you have stiff ankles and/or hips, this issue will likely result in an unstable knee. A pistol squats on one leg is a great way to check knee stability. If your knee isn’t in direct alignment with the feet, focusing on stabilizing the knees is crucial for you."," I'm not sure, but I do know that squats are a great way to strengthen your knees.","I'm not sure, but I think you can try to bend your knees more.",If your knee isn’t in direct alignment with the feet,0.587,0.306,0.353,1,0.225,0.475
Calisthenics for beginners,"With calisthenics, especially the old-school approach, it's all about building strength, range of motion, coordination, and power for life. Rushing is the wrong way to approach it, and will more often than not lead to injury and possibly partial disability. Integration instead of Isolation. Mind over Muscle. Nutrition and Rest.",Have you ever tried to learn how to calisthenic? It's a branch of mathematics.,I second this. I've been doing calisthenics for a while and it's helped me a lot.,it's helped me a lot.,0.662,0.531,0.282,0.999,0.558,0.439
Does it take long to see calisthenics results,"Immediately if you are doing it correctly and with enough reps per workout. If you set a goal of completing 500 push-ups in one day, or 1000 or 1500, you will see the results the next day. You will feel it in a bigger appetite, in how you feel the newfound strength, in your shoulders from doing the pull/chin-ups, in your chest when you lift your significant other in the air."," It does take a long time to see the results, but it's worth it in the end.",I've been doing it for about a year now.,It does take a long time to see the results,0.514,0.32,0.222,0.998,0.194,0.013
I want to begin calisthenics What kind of equipment should I get,"Calisthenics doesn't require a lot of equipment and can be done with just your body weight. As a beginner, you may require a horizontal bar to perform inverted rows. It's a good progression towards pull-ups. As you progress, you can incorporate rings into your training."," I would get a good set of weighted bars, dumbbells, and weight stacks.",I have a pair of shoes and a pair of socks.,"weighted bars, dumbbells, and weight stacks",0.556,0.252,0.201,0.999,0.11,0.009
Are planks good exercise?,"Plank is a fine beginners exercise. It's not an exercise you'll need to do beyond the first month or so of a beginner's training routine. Once you can hold a plank for a couple of minutes, that's about all the benefit you’re ever going to get from the exercise."," Planks are great exercise, but they can also be used for recreational purposes.","I'm not sure, but I think they're good for your back.",great exercise,0.659,0.411,0.286,0.964,0.253,0.018
What are the benefits of pushups,Pushups are a fast and effective exercise for building strength. They can be done from virtually anywhere and don't require any equipment. Do pushups every day if you're looking for a consistent exercise routine to follow. You will likely notice gains in upper body strength if you do pushups regularly.,Push ups are great for strengthening the muscles of the body and improving cardiovascular health.,You can do them without a barbell.,strengthening the muscles of the body and improving cardiovascular health,0.644,0.353,0.402,0.878,0.099,0.358
What are some signs of overdoing cardio,"It’s easy to overdo exercise, especially running because once you get used to the sense of movement, it becomes harder to stop than keep going. So here are a few symptoms of overexercising: Your muscles are shaking and weak. if you feel uneasy walking, standing, or sitting you‘ve over-exercised. Your mouth is dry and you urinate often. if your body is purposefully dehydrating itself. Your mind is foggy and you feel confused. if you’re unable to think rationally 30–60min after exercising. ",Over eating is when you eat a lot of food and not enough of it. It can be bad for your health.,"I'm not sure, but I think it's the fact that I'm not doing it for the cardio.",Your muscles are shaking and weak,0.635,0.396,0.438,1,0.596,0.003
Why are calisthenics good,Calisthenics do not require a gym membership or any equipment (besides a pull-up bar). Weight training can create muscle imbalances if you don’t know what you are doing. Bodyweight training on the other hand is much easier on your joints.,They are good because it forces you to use your brain to think and work efficiently.,They're not.,it forces you to use your brain to think and work efficiently,0.585,0.351,0.267,0.993,0.226,0.011
Could you suggest a good method for increasing endurance,"Hill running works almost every muscle in the body, but puts a huge emphasis on the quads, glutes, hamstrings, and calves. I like to do anywhere from 300m to 800m efforts. You can choose a very steep hill of around 15–20% grade or a slightly shallower slope of 4–10% grade."," I'm not sure, but I do know that it's important to have a good workout regimen.","I'm not sure, I've never done it. I've heard that running is a good way to increase endurance.",I've heard that running is a good way to increase endurance.,0.415,0.293,0.188,0.999,0.015,0.191
How to gain running stamina,"Increase stamina by running longer, faster, and more frequently. NHS's Couch to 5K provides an easy-to-use guide that grows each week slightly. Most training programs keep rate work to 20 percent of their total mileage for a week to prevent marathon training fatigue and harms",Running is one of my favorite things to do. It's a great way to exercise and burn calories.,I think you can only do it once per day.,"running longer, faster, and more frequently",0.575,0.401,0.263,0.974,0.49,0.056
How to strengthen posture muscle muscle,Shoulder presses are great for building up the muscles needed for good posture. Presses with the bar in front of the neck seem to be low risk as long as you don’t rush adding weight.,Strength training is a great way to increase muscle mass. It is also known as strength training.,I'm not sure what you mean by strengthen.,Strength training,0.446,0.452,0.375,0.929,0.539,0
Can you meditate in a sleeping posture,"Even sleeping is a meditation. Meditation can be done at any time anywhere even in any position. It's better to live a meditative life rather than practicing it at certain times. Keep smiling and spread the happiness all-around. For more tips on how to meditate, visit CNN.com/meditation."," I have never tried it, but I have heard of it. It seems like it would be relaxing.",I can't meditate in a sleeping posture.,I can't meditate in a sleeping posture,0.598,0.202,0.333,0.986,0.371,0.013
How do I start working out if i am fat overweight,"Best types of exercise for obese people aren't always available at your local gym or fitness studio. check your local community center, hospital, health club, or neighborhood center to find an exercise program to suit your needs. Most healthy adults get at least 150 minutes of moderate aerobic exercise a week."," You can start by exercising with weighted bars, dumbbells, or weight stacks.",You can't. You have to be a professional athlete.,"exercising with weighted bars, dumbbells, or weight stacks",0.639,0.412,0.386,0.997,0.506,0.642
Is posture necessary for meditation,"There are three questions about the meditative process that are the most important ones-how to still the mind, how to accomplish a serene manner of breathing and the last one, relevant to your question is how to position the body so it is at ease? The requirements for a good meditation posture are that it be still, steady, relaxed, and comfortable. If the body moves, it will distract one from meditation."," I don't think it's necessary, but it can help you relax and clear your mind.",I think it's a good way to get your mind off the floor.,"it be still, steady, relaxed, and comfortable",0.622,0.453,0.402,0.976,0.161,0.035
How should one sit during meditation,"Floor or chair, you can increase your sitting hours with practice. Any position is good, as long as you are meditating.",Have you ever tried meditation? It's a great way to relax and clear your mind.,I sit on my hands and knees.,on my hands and knees,0.445,0.516,0.313,0.767,0.6,0.326
